date,units,cost
2025-04-17,25.4,216.02
2025-04-18,30.8,262.02
2025-04-19,21.9,186.46
2025-04-20,31.8,270.24
2025-04-21,25.3,214.75
2025-04-22,31.1,264.47
2025-04-23,26.9,228.23
2025-04-24,22.5,191.2
2025-04-25,27.4,232.88
2025-04-26,23.2,197.37
2025-04-27,33.0,280.61
2025-04-28,33.5,284.59
2025-04-29,28.3,240.38
2025-04-30,20.6,175.38
2025-05-01,32.3,274.64
2025-05-02,24.7,209.8
2025-05-03,30.1,256.17
2025-05-04,28.3,240.42
2025-05-05,25.8,219.47
2025-05-06,30.6,260.45
2025-05-07,26.0,220.87
2025-05-08,25.6,217.49
2025-05-09,29.4,249.93
2025-05-10,23.1,196.43
2025-05-11,65.8,559.69
2025-05-12,24.0,203.91
2025-05-13,30.8,261.74
2025-05-14,23.7,201.84
2025-05-15,21.4,181.52
2025-05-16,21.3,181.12
2025-05-17,23.0,195.09
2025-05-18,58.3,495.71
2025-05-19,25.5,216.89
2025-05-20,33.0,280.75
2025-05-21,21.2,180.24
2025-05-22,23.6,200.61
2025-05-23,27.9,237.56
2025-05-24,22.0,187.31
2025-05-25,26.2,222.43
2025-05-26,29.4,249.7
2025-05-27,55.3,469.86
2025-05-28,32.9,279.56
2025-05-29,55.9,475.48
2025-05-30,31.1,264.73
2025-05-31,29.1,247.41
2025-06-01,28.0,237.61
2025-06-02,31.3,265.92
2025-06-03,26.8,227.75
2025-06-04,23.5,199.67
2025-06-05,72.7,618.0
2025-06-06,24.0,204.24
2025-06-07,25.3,215.39
2025-06-08,26.9,228.8
2025-06-09,27.1,230.02
2025-06-10,32.0,272.03
2025-06-11,25.8,218.91
2025-06-12,31.9,271.53
2025-06-13,31.0,263.32
2025-06-14,28.1,238.98
2025-06-15,28.9,245.59
2025-06-16,31.1,264.23
2025-06-17,23.9,203.24
2025-06-18,23.9,203.57
2025-06-19,24.7,209.72
2025-06-20,25.3,215.45
2025-06-21,64.5,548.5
2025-06-22,31.8,270.21
2025-06-23,31.4,267.07
2025-06-24,26.9,228.4
2025-06-25,27.5,233.44
2025-06-26,28.5,242.29
2025-06-27,27.2,231.34
2025-06-28,57.3,487.42
2025-06-29,27.8,236.4
2025-06-30,30.7,261.14
2025-07-01,11.1,82.9
2025-07-02,15.6,117.16
2025-07-03,59.1,443.6
2025-07-04,15.6,116.96
2025-07-05,15.7,117.43
2025-07-06,13.4,100.82
2025-07-07,11.5,86.53
2025-07-08,17.4,130.26
2025-07-09,15.2,114.14
2025-07-10,17.1,127.97
2025-07-11,16.6,124.49
2025-07-12,16.2,121.54
2025-07-13,18.1,135.84
2025-07-14,14.1,105.85
2025-07-15,14.3,107.33
2025-07-16,16.3,122.05
2025-07-17,11.9,89.18
2025-07-18,16.1,121.0
2025-07-19,14.5,108.9
2025-07-20,15.5,116.14
2025-07-21,15.1,113.48
2025-07-22,19.5,146.24
2025-07-23,15.1,112.88
2025-07-24,14.6,109.76
2025-07-25,16.6,124.46
2025-07-26,14.1,105.98
2025-07-27,11.1,83.53
2025-07-28,14.0,104.74
2025-07-29,14.8,111.24
2025-07-30,14.1,105.62
2025-07-31,10.2,76.79
2025-08-01,16.8,126.31
2025-08-02,14.8,111.22
2025-08-03,13.5,101.6
2025-08-04,64.6,484.14
2025-08-05,17.5,131.55
2025-08-06,11.0,82.86
2025-08-07,12.8,95.76
2025-08-08,17.0,127.43
2025-08-09,15.7,117.96
2025-08-10,15.2,113.85
2025-08-11,14.5,108.48
2025-08-12,18.3,137.46
2025-08-13,12.8,95.94
2025-08-14,13.8,103.43
2025-08-15,14.9,112.12
2025-08-16,11.3,84.63
2025-08-17,17.7,132.86
2025-08-18,17.3,129.38
2025-08-19,14.0,105.11
2025-08-20,16.9,126.61
2025-08-21,16.3,122.0
2025-08-22,17.7,132.43
2025-08-23,12.9,96.93
2025-08-24,14.3,107.41
2025-08-25,11.3,84.39
2025-08-26,12.9,96.65
2025-08-27,15.0,112.59
2025-08-28,15.5,115.91
2025-08-29,80.7,604.99
2025-08-30,14.8,110.99
2025-08-31,11.9,89.17
2025-09-01,13.7,103.1
2025-09-02,15.7,117.73
2025-09-03,16.8,126.03
2025-09-04,15.2,113.85
2025-09-05,16.9,126.91
2025-09-06,15.1,113.19
2025-09-07,14.2,106.61
2025-09-08,18.0,134.74
2025-09-09,17.5,131.56
2025-09-10,16.3,122.41
2025-09-11,15.2,114.27
2025-09-12,13.4,100.71
2025-09-13,13.8,103.5
2025-09-14,11.5,85.92
2025-09-15,12.7,95.23
2025-09-16,14.9,111.41
2025-09-17,13.4,100.48
2025-09-18,16.6,124.71
2025-09-19,13.3,99.94
2025-09-20,12.2,91.33
2025-09-21,72.1,540.57
2025-09-22,15.9,119.07
2025-09-23,60.6,454.87
2025-09-24,14.9,111.68
2025-09-25,10.9,81.75
2025-09-26,13.8,103.54
2025-09-27,14.3,107.55
2025-09-28,18.2,136.19
2025-09-29,19.0,142.47
2025-09-30,12.6,94.82
2025-10-01,12.7,95.07
2025-10-02,16.3,122.0
2025-10-03,13.4,100.64
2025-10-04,14.7,110.35
2025-10-05,11.2,83.99
2025-10-06,13.7,102.85
2025-10-07,15.5,116.19
2025-10-08,11.5,86.1
2025-10-09,17.6,132.09
2025-10-10,16.6,124.32
2025-10-11,14.8,111.07
2025-10-12,14.4,107.68
2025-10-13,15.4,115.56
2025-10-14,16.0,119.77
2025-10-15,80.6,604.51
2025-10-16,17.8,133.54
2025-10-17,16.5,123.48
2025-10-18,15.1,113.39
2025-10-19,12.2,91.68
2025-10-20,18.0,135.21
2025-10-21,12.4,93.15
2025-10-22,11.2,84.37
2025-10-23,17.4,130.18
2025-10-24,14.2,106.79
2025-10-25,11.2,83.67
2025-10-26,16.8,125.65
2025-10-27,18.4,137.79
2025-10-28,15.9,119.33
2025-10-29,18.3,137.27
2025-10-30,18.9,141.8
2025-10-31,15.7,117.43
2025-11-01,16.2,121.16
2025-11-02,15.9,119.51
2025-11-03,19.8,148.18
2025-11-04,65.4,490.46
2025-11-05,84.5,634.05
2025-11-06,10.9,81.8
2025-11-07,16.6,124.67
2025-11-08,17.8,133.3
2025-11-09,17.5,131.35
2025-11-10,15.1,113.26
2025-11-11,16.5,124.06
2025-11-12,18.8,141.29
2025-11-13,11.7,87.84
2025-11-14,10.7,80.47
2025-11-15,16.9,126.79
2025-11-16,18.1,135.78
2025-11-17,17.6,132.3
2025-11-18,11.2,84.24
2025-11-19,17.2,128.73
2025-11-20,12.1,90.64
2025-11-21,14.2,106.37
2025-11-22,16.0,119.93
2025-11-23,15.0,112.35
2025-11-24,16.5,123.82
2025-11-25,16.3,122.37
2025-11-26,15.1,113.47
2025-11-27,15.2,113.96
2025-11-28,11.5,85.99
2025-11-29,14.9,111.92
2025-11-30,18.8,141.3
2025-12-01,19.0,142.52
2025-12-02,18.4,137.96
2025-12-03,25.8,193.38
2025-12-04,21.3,159.98
2025-12-05,24.3,182.33
2025-12-06,62.2,466.87
2025-12-07,16.3,122.59
2025-12-08,17.0,127.16
2025-12-09,21.4,160.87
2025-12-10,22.2,166.5
2025-12-11,23.2,173.84
2025-12-12,20.9,156.48
2025-12-13,18.2,136.37
2025-12-14,24.4,182.93
2025-12-15,23.3,174.76
2025-12-16,21.4,160.69
2025-12-17,18.2,136.66
2025-12-18,19.7,148.06
2025-12-19,19.5,146.34
2025-12-20,24.5,183.53
2025-12-21,20.4,153.09
2025-12-22,25.7,192.42
2025-12-23,25.1,188.45
2025-12-24,22.0,165.31
2025-12-25,19.9,149.29
2025-12-26,79.0,592.32
2025-12-27,20.8,156.25
2025-12-28,19.1,143.44
2025-12-29,16.0,119.91
2025-12-30,17.2,129.23
2025-12-31,20.7,155.29
